SAMPLEDATEI,OILR,WATERR,GASR,CO2R,TESTTIMER,SPTCODEI,SALINITYR,WELLHEADPRESSR,WELLHEADTEMPR,CHOKESIZER,FLOWLINEPRESSR,HEADERPRESSR,SEPARATORPRESSR,TUBINGPRESSR,CASINGPRESSR,
1122647220,20.7999992,691.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1116526941,83.0000000,412.0000000,0.0000000,0.0000000,2.0000000,9,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1023876183,1.0000000,2.0000000,0.0000000,0.0000000,24.0000000,1,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1026468183,2.0000000,140.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1028368983,0.0000000,11.0000000,0.0000000,0.0000000,24.0000000,9,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1029578583,43.0000000,900.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1029924183,14.0000000,510.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1063879383,18.0000000,432.0000000,0.0000000,0.0000000,0.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1064916183,30.0000000,575.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1065693783,27.6000004,523.7000122,0.7000000,0.0000000,2.0000000,1,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1081438033,10.6499996,534.7000122,0.7000000,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1092772788,0.5120000,511.7999878,9.7100000,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1091723381,13.2299995,538.2000122,35.4700012,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1097941113,16.0000000,448.0000000,9.7100000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1112397309,9.0000000,536.0000000,0.0000000,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1119997574,7.0000000,663.0000000,0.0000000,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1117115912,4.5000000,604.0000000,0.0000000,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1120315071,10.0000000,580.0000000,0.0000000,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1120778007,27.0000000,660.0000000,0.0000000,0.0000000,2.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1122338206,22.0000000,689.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1124324266,13.8000002,701.4000244,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1124756930,13.0000000,691.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1125175763,12.0000000,688.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1125529702,11.0000000,688.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1125875393,12.0000000,688.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1126223590,11.0000000,688.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1126295605,17.0000000,502.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1129165848,13.3999996,474.3999939,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1139279609,13.6000004,277.1000061,0.0000000,0.0000000,24.0000000,9,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1147481521,38.0999985,847.2999878,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1148343562,14.8999996,898.4000244,0.0000000,0.0000000,24.0000000,9,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1148517087,18.7000008,834.5999756,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1148947158,16.2000008,782.5999756,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1149207476,12.6999998,779.5999756,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1149725319,14.3000002,627.5999756,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1149981698,8.1999998,649.5999756,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1150504125,1.4000000,169.6000061,0.0000000,0.0000000,24.0000000,9,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1160353665,0.0000000,916.0000000,0.0000000,0.0000000,24.0000000,9,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1160959435,0.0000000,641.7999878,0.0000000,0.0000000,24.0000000,9,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1161215415,0.2000000,517.0000000,0.0000000,0.0000000,24.0000000,9,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1161562220,0.2000000,383.0000000,0.0000000,0.0000000,24.0000000,9,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1161908188,0.0000000,349.6000061,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1162516528,0.0000000,281.3999939,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1162861716,4.4000001,123.8000031,0.0000000,0.0000000,24.0000000,9,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1164293552,4.6999998,130.5000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,
1269812316,6.8000002,110.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100.0000000,10.0000000,
1269898833,8.8999996,180.0000000,0.0000000,0.0000000,24.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100.0000000,10.0000000,
1271969757,2.4000001,218.3000031,0.0000000,0.0000000,20.0000000,0,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,100.0000000,10.0000000,

